nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
83,582531,187324,I18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
84,584906.9,187049.4,I18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
85,586476.4,185548,I19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,apartment ,NA,NA,NA
86,585240.8,186499.8,I19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,NA,Thinks there is too many RK,NA,NA
87,586763.9,186916,I19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
88,587319.8,185947.7,I19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
89,586640.4,187370.5,I19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,>65,1,house,NA,NA,NA
90,585235.3,185697.8,I19,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,50-65,1,house + garden,NA,NA,NA
91,586212.3,185549.5,I19,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,2,house + garden,NA,NA,NA
92,588495.9,185714.9,I20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,farm,NA,NA,NA
93,589153.4,185798.4,I20,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,farm,NA,NA,NA
94,591933.3,185944.1,I21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,35-50,2,house + garden,Would like to feed rk ,NA,NA
